"Lambda,Intensity"
"2.083e+02,0.000e+00"
"2.083e+02,0.000e+00"
"2.083e+02,0.000e+00"
"2.084e+02,0.000e+00"
"2.084e+02,0.000e+00"
"2.084e+02,0.000e+00"
"2.084e+02,0.000e+00"
"2.084e+02,0.000e+00"
"2.085e+02,0.000e+00"
"2.085e+02,0.000e+00"
"2.085e+02,0.000e+00"
"2.085e+02,0.000e+00"
"2.085e+02,0.000e+00"
"2.086e+02,0.000e+00"
"2.086e+02,0.000e+00"
"2.086e+02,0.000e+00"
"2.086e+02,0.000e+00"
"2.086e+02,0.000e+00"
"2.087e+02,0.000e+00"
"2.087e+02,0.000e+00"
"2.087e+02,0.000e+00"
"2.087e+02,0.000e+00"
"2.087e+02,0.000e+00"
"2.088e+02,0.000e+00"
"2.088e+02,0.000e+00"
"2.088e+02,0.000e+00"
"2.088e+02,0.000e+00"
"2.088e+02,0.000e+00"
"2.089e+02,0.000e+00"
"2.089e+02,0.000e+00"
"2.089e+02,0.000e+00"
"2.089e+02,0.000e+00"
"2.089e+02,0.000e+00"
"2.090e+02,0.000e+00"
"2.090e+02,0.000e+00"
"2.090e+02,0.000e+00"
"2.090e+02 6.917e-323"
"2.090e+02 1.174e-319"
"2.091e+02 1.897e-316"
"2.091e+02 2.944e-313"
"2.091e+02 4.385e-310"
"2.091e+02 6.269e-307"
"2.091e+02 8.606e-304"
"2.092e+02 1.134e-300"
"2.092e+02 1.435e-297"
"2.092e+02 1.742e-294"
"2.092e+02 2.031e-291"
"2.092e+02 2.274e-288"
"2.093e+02 2.443e-285"
"2.093e+02 2.520e-282"
"2.093e+02 2.496e-279"
"2.093e+02 2.373e-276"
"2.093e+02 2.166e-273"
"2.094e+02 1.897e-270"
"2.094e+02 1.596e-267"
"2.094e+02 1.289e-264"
"2.094e+02 9.990e-262"
"2.094e+02 7.434e-259"
"2.095e+02 5.311e-256"
"2.095e+02 3.643e-253"
"2.095e+02 2.399e-250"
"2.095e+02 1.516e-247"
"2.095e+02 9.200e-245"
"2.096e+02 5.359e-242"
"2.096e+02 2.997e-239"
"2.096e+02 1.609e-236"
"2.096e+02 8.294e-234"
"2.096e+02 4.104e-231"
"2.097e+02 1.949e-228"
"2.097e+02 8.890e-226"
"2.097e+02 3.892e-223"
"2.097e+02 1.636e-220"
"2.097e+02 6.599e-218"
"2.098e+02 2.556e-215"
"2.098e+02 9.505e-213"
"2.098e+02 3.393e-210"
"2.098e+02 1.163e-207"
"2.098e+02 3.826e-205"
"2.099e+02 1.208e-202"
"2.099e+02 3.664e-200"
"2.099e+02 1.066e-197"
"2.099e+02 2.980e-195"
"2.099e+02 7.994e-193"
"2.100e+02 2.059e-190"
"2.100e+02 5.090e-188"
"2.100e+02 1.208e-185"
"2.100e+02 2.753e-183"
"2.100e+02 6.022e-181"
"2.101e+02 1.265e-178"
"2.101e+02 2.550e-176"
"2.101e+02 4.935e-174"
"2.101e+02 9.170e-172"
"2.101e+02 1.636e-169"
"2.102e+02 2.801e-167"
"2.102e+02 4.605e-165"
"2.102e+02 7.267e-163"
"2.102e+02 1.101e-160"
"2.102e+02 1.602e-158"
"2.103e+02 2.237e-156"
"2.103e+02 2.998e-154"
"2.103e+02 3.859e-152"
"2.103e+02 4.767e-150"
"2.103e+02 5.655e-148"
"2.104e+02 6.439e-146"
"2.104e+02 7.039e-144"
"2.104e+02 7.387e-142"
"2.104e+02 7.442e-140"
"2.104e+02 7.199e-138"
"2.105e+02 6.684e-136"
"2.105e+02 5.959e-134"
